TC_ID,ID,STN_NAME,LATITUDE,LONGITUDE,ELEV
YHL,1A01P,Yellowhead,52.906639,-118.547667,1860
MBP,1A02P,McBride (Upper),53.30775,-120.317278,1611
BKP,1A03P,Barkerville,53.056806,-121.491,1520
HDL,1A14P,Hedrick Lake,54.105778,-121.005917,1100
REV,1A17P,Revolution Creek,53.786306,-120.381667,1690
DMT,1A19P,Dome Mountain,53.622083,-121.024417,1774
MTW,1B01P,Mount Wells,53.731167,-126.419167,1490
THL,1B02P,Tahtsa Lake,53.585833,-127.645,1300
MTP,1B08P,Mt. Pondosy,53.1645,-126.873,1400
GRM,1C12P,Green Mountain,50.795556,-122.924444,1725
MIR,1C18P,Mission Ridge,50.764167,-122.206111,1860
BMM,1C20P,Boss Mountain Mine,52.106611,-120.867611,1460
YKP,1C41P,Yanks Peak,52.831917,-121.355056,1670
TQL,1D06P,Tenquille Lake,50.536167,-122.929389,1680
CHP,1D17P,Chilliwack River,49.031667,-121.7125,1600
SPZ,1D19P,Spuzzum,49.660639,-121.658917,1180
MTC,1E02P,Mount Cook,52.1825,-119.323167,1550
AZR,1E08P,Azure River,52.595667,-119.724,1620
KOS,1E10P,Kostal Lake,52.203639,-120.032167,1770
PAR,1F03P,Park Mountain,50.449639,-118.618167,1890
CMT,1F06P,Celista,51.406056,-118.985694,1500
MRL,2A06P,Mount Revelstoke,51.035,-118.147,1830
MLC,2A21P,Molson Creek,52.221,-118.226,1980
BNC,2B06P,Barnes Creek,50.0685,-118.351167,1620
SLC,2B08P,St. Leon Creek,50.434167,-117.7035,1800
MSR,2C09Q,Morrissey Ridge,49.448,-114.969,1800
MMT,2C10P,Moyie Mountain,49.251083,-115.773861,1930
FLL,2C14P,Floe Lake,51.060222,-116.137222,2090
ESC,2D08P,East Creek,50.64,-116.926,2030
RFC,2D14P,Redfish Creek,49.689861,-117.087028,2104
GRC,2E07P,Grano Creek,49.551833,-118.677167,1860
MNC,2F05P,Mission Creek,49.944833,-118.949139,1780
BDM,2F18P,Brenda Mine,49.867389,-119.977056,1460
BKW,2G03P,Blackwall Peak,49.094056,-120.772528,1940
NTR,3A22P,Nostetuko River,51.243639,-124.4605,1500
UMC,3A24P,Upper Mosley Creek,51.776167,-124.621806,1650
SQU,3A25P,Upper Squamish River,50.154056,-123.436,1340
WFR,3B17P,Wolf River (Upper),49.704139,-125.67925,1430
JPC,3B23P,Jump Creek,48.9695,-124.276167,1160
BRB,3C08P,Burnt Bridge Creek,52.480806,-126.2495,1330
PPS,4A02P,Pine Pass,55.353056,-122.637778,1390
PPL,4A09P,Pulpit Lake,57.548333,-126.748889,1335
KWR,4A27P,Kwadacha River,57.623611,-125.073333,1620
AKL,4A30P,Aiken Lake,56.436667,-126.741667,1065
LUL,4B15P,Lu Lake,54.196833,-126.304056,1300
SHE,4B16P,Shedin Creek,55.862556,-127.698222,1480
TSC,4B17P,Tsai Creek,54.646139,-127.674833,1360
CDK,4B18P,Cedar-Kiteen,55.152306,-128.709833,885
KKL,4D11P,Kinaskan Lake,57.56666667,-130.25,1020
SMM,11,SUMMIT,48.9275667,-124.6469,680
MZC,19,MENZIES CAMP,50.0486333,-125.7886667,438
WOC,21,WOSS CAMP,50.2131167,-126.60705,156
TBC,75,TOBA CAMP,50.568,-124.073,10
SCC,82,SCAR CREEK,51.1890833,-125.0280667,126
MCL,101,MACHMELL,51.5931167,-126.4507667,332
RSW,105,ROSSWOOD,54.9169333,-128.85965,239
KTP,106,KITPARK,54.17,-128.5766667,75
TLC,110,TELEGRAPH CREEK,57.9141333,-131.17115,382
ATL,111,ATLIN,59.5833333,-133.6666667,729
ISK,112,ISKUT,57.8566667,-130.0083333,890
BOB,113,BOB QUINN LAKE,56.9833333,-130.2533333,609
SIE,117,SIERRA,58.83811,-121.39666,584
HLM,118,HELMUT,59.421,-120.7889167,598
NLF,119,NELSON FORKS,59.61728,-124.09851,604
SLR,120,SILVER,57.49678,-121.29695,835
PAD,121,PADDY,57.78181,-120.2368,729
GRH,124,GRAHAM,56.4346389,-122.4576667,768
TDR,126,TOAD RIVER,58.86585,-125.3107,711
TBD,127,TUMBLER(DENISON),55.02736,-120.93405,942
PKM,129,PINK MOUNTAIN,57.07653,-122.5590556,989
MWA,131,MUSKWA,57.88425,-123.6163,780
HHP,132,HUDSON HOPE,56.0347,-121.99021,704
WNW,136,WONOWON,56.7185,-121.76543,967
RDR,138,RED DEER,54.63303,-120.57621,1306
